User_ID,Product_ID,Gender,Age Group,Age,Marital_Status,District,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1000001,P00059442,Female,0-17,13,1,Coimbatore,Western,Aviation,Electronics & Gadgets,1,3977,,
1000002,P00115342,Female,55+,56,0,Tirunelveli,Southern,Agriculture,Clothing & Apparel,3,7098,,
1000003,P00241642,Female,26-35,33,0,Kanyakumari,Southern,Automobile,Footwear & Shoes,3,12289,,
1000003,P00058042,Female,26-35,35,0,Sivagangai,Central,Govt,Food,3,11425,,
1000004,P00184942,Female,46-50,47,0,Theni,Western,Retail,Footwear & Shoes,1,20309,,
1000004,P00318742,Female,46-50,47,1,Sivagangai,Central,Construction,Decor,2,10072,,
1000005,P00240142,Female,26-35,27,0,Kanyakumari,Southern,Food Processing,Footwear & Shoes,2,16927,,
1000005,P00268442,Female,26-35,29,0,Coimbatore,Western,Retail,Sports Products,2,10740,,
1000007,P00036842,Female,36-45,36,1,Madurai,Southern,Media,Food,2,15310,,
1000007,P00113242,Female,36-45,45,1,Sivagangai,Central,Aviation,Electronics & Gadgets,2,9769,,
1000008,P00297042,Female,26-35,29,0,Trichy,Central,Food Processing,Footwear & Shoes,3,12837,,
1000008,P00165942,Female,26-35,28,0,Coimbatore,Western,Healthcare,Sports Products,4,10996,,
1000008,P00010742,Female,26-35,27,1,Tiruvallur,Northern,Automobile,Clothing & Apparel,4,8642,,
1000009,P00184942,Female,26-35,28,0,Trichy,Central,Food Processing,Footwear & Shoes,2,8214,,
1000009,P00307642,Female,26-35,31,1,Trichy,Central,Automobile,Household items,3,3127,,
1000010,P00087242,Male,36-45,37,1,Kanchipuram,Northern,Media,Games & Toys,2,6421,,
1000010,P00053842,Male,36-45,45,0,Trichy,Central,Chemical,Food,2,15187,,
1000010,P00343042,Male,36-45,43,1,Coimbatore,Western,Aviation,Furniture,3,8091,,
1000010,P00106042,Male,36-45,39,0,Sivagangai,Central,Automobile,Clothing & Apparel,2,6995,,
1000010,P00120142,Male,36-45,39,0,Erode,Central,Govt,Beauty,3,1738,,
1000013,P00295942,Female,46-50,50,1,Tirunelveli,Southern,IT Sector,Food,3,19105,,
1000013,P00111542,Female,46-50,49,0,Cuddalore,Eastern,Govt,Electronics & Gadgets,4,7823,,
1000013,P00035942,Female,46-50,50,1,Kanyakumari,Southern,Aviation,Clothing & Apparel,4,3616,,
1000015,P00302442,Female,26-35,29,0,Kanchipuram,Northern,Chemical,Food,2,15254,,
1000015,P00078142,Female,26-35,32,1,Erode,Central,IT Sector,Clothing & Apparel,4,1919,,
1000016,P00238542,Male,36-45,45,0,Tirunelveli,Southern,Retail,Sports Products,2,8177,,
1000017,P00156442,Female,51-55,52,0,Tirunelveli,Southern,Govt,Games & Toys,4,6735,,
1000017,P00355142,Male,51-55,55,0,Coimbatore,Western,Banking,Footwear & Shoes,2,12389,,
1000018,P00342742,Male,18-25,24,1,Kanyakumari,Southern,Healthcare,Furniture,4,7979,,
1000018,P00036842,Male,18-25,18,1,Coimbatore,Western,Media,Clothing & Apparel,3,8684,,
1000019,P00121642,Female,0-17,14,0,Tirunelveli,Southern,Aviation,Food,2,11513,,
1000019,P00329542,Male,0-17,13,1,Salem,Western,Healthcare,Clothing & Apparel,2,3753,,
1000022,P00145042,Female,18-25,25,0,Madurai,Southern,IT Sector,Clothing & Apparel,1,5168,,
1000022,P00059642,Male,18-25,21,0,Trichy,Central,Healthcare,Clothing & Apparel,4,5219,,
1000022,P00080342,Female,18-25,23,0,Tirunelveli,Southern,Lawyer,Clothing & Apparel,3,5434,,
1000022,P00280542,Female,18-25,19,1,Theni,Western,IT Sector,Food,4,12050,,
1000022,P00059642,Male,18-25,21,0,Vellore,Northern,Healthcare,Clothing & Apparel,4,5219,,
1000023,P00237542,Female,36-45,38,1,Kanyakumari,Southern,Hospitality,Footwear & Shoes,2,12315,,
1000023,P00276342,Female,36-45,41,0,Kanyakumari,Southern,Chemical,Household items,1,3772,,
1000023,P00150942,Female,36-45,43,0,Vellore,Northern,Healthcare,Electronics & Gadgets,1,7986,,
1000024,P00032042,Male,26-35,32,0,Chennai,Northern,Textile,Games & Toys,4,16215,,
1000024,P00251942,Male,26-35,31,0,Theni,Western,Aviation,Food,1,15838,,
1000026,P00042842,Female,26-35,29,0,Ariyalur,Central,Healthcare,Electronics & Gadgets,1,7757,,
1000026,P0095142,Female,26-35,34,0,Kanyakumari,Southern,Textile,Furniture,2,12014,,
1000026,P00144242,Female,26-35,32,0,Theni,Western,Aviation,Food,4,19145,,
1000026,P00274642,Female,26-35,31,0,Tiruvallur,Northern,Banking,Electronics & Gadgets,4,8025,,
1000026,P00250842,Female,26-35,29,0,Sivagangai,Central,IT Sector,Beauty,3,7519,,
1000026,P00221742,Female,26-35,29,0,Sivagangai,Central,Automobile,Clothing & Apparel,1,7107,,
1000028,P00270242,Male,26-35,34,1,Coimbatore,Western,Media,Clothing & Apparel,4,1955,,
1000029,P00048142,Female,36-45,42,1,Cuddalore,Eastern,Aviation,Games & Toys,2,6356,,
1000030,P00174342,Male,36-45,41,0,Kanyakumari,Southern,Healthcare,Food,1,8032,,
1000030,P00265242,Male,36-45,41,1,Theni,Western,Healthcare,Food,4,15468,,
1000031,P00270842,Female,55+,65,1,Erode,Central,Food Processing,Clothing & Apparel,4,8872,,
1000033,P00177442,Female,46-50,49,1,Tirunelveli,Southern,Textile,Clothing & Apparel,4,1748,,
1000033,P00316842,Female,46-50,49,0,Chennai,Northern,Aviation,Games & Toys,4,6548,,
1000033,P00058042,Female,46-50,48,0,Ariyalur,Central,Hospitality,Clothing & Apparel,4,8765,,
1000033,P00080342,Female,46-50,48,1,Coimbatore,Western,Construction,Sports Products,1,13371,,
1000033,P00311442,Male,46-50,47,0,Sivagangai,Central,Banking,Furniture,4,16540,,
1000033,P00331342,Female,46-50,50,0,Sivagangai,Central,Automobile,Food,4,12089,,
1000033,P00106042,Female,46-50,50,0,Sivagangai,Central,Aviation,Sports Products,1,10857,,
1000033,P00271142,Female,46-50,46,1,Sivagangai,Central,Lawyer,Food,1,7999,,
1000034,P00033042,Male,18-25,22,1,Coimbatore,Western,Banking,Food,4,7651,,
1000035,P00228242,Female,46-50,47,0,Coimbatore,Western,Banking,Decor,1,10021,,
1000035,P00326942,Female,46-50,49,1,Sivagangai,Central,Banking,Food,3,11966,,
1000036,P00147742,Female,26-35,32,0,Kanchipuram,Northern,Aviation,Electronics & Gadgets,4,9699,,
1000036,P00347142,Female,26-35,31,0,Kanchipuram,Northern,IT Sector,Electronics & Gadgets,3,5923,,
1000036,P00297742,Female,26-35,34,0,Tirunelveli,Southern,Textile,Clothing & Apparel,2,3673,,
1000036,P00250242,Female,26-35,29,0,Chennai,Northern,IT Sector,Food,2,15795,,
1000036,P00112542,Female,26-35,28,0,Ariyalur,Central,Govt,Clothing & Apparel,4,5222,,
1000036,P00034742,Female,26-35,35,0,Cuddalore,Eastern,Construction,Clothing & Apparel,2,5185,,
1000036,P00035942,Female,26-35,34,0,Sivagangai,Central,Construction,Clothing & Apparel,1,8897,,
1000036,P00327342,Female,26-35,27,0,Erode,Central,Construction,Furniture,4,19895,,
1000037,P00220442,Male,26-35,30,1,Cuddalore,Eastern,Lawyer,Clothing & Apparel,4,5310,,
1000042,P00173842,Female,26-35,27,0,Coimbatore,Western,Healthcare,Household items,2,1521,,
1000042,P00244042,Female,26-35,35,0,Sivagangai,Central,IT Sector,Furniture,4,16175,,
1000044,P00323942,Male,46-50,50,1,Kanyakumari,Southern,Media,Footwear & Shoes,4,16219,,
1000045,P00330242,Male,46-50,48,1,Trichy,Central,Govt,Beauty,3,6047,,
1000045,P00085642,Male,46-50,49,0,Kanyakumari,Southern,Media,Stationery,4,4905,,
1000045,P00034642,Male,46-50,49,0,Kanyakumari,Southern,Govt,Household items,4,3035,,
1000045,P00003542,Male,46-50,47,1,Theni,Western,Govt,Clothing & Apparel,3,5223,,
1000045,P00205942,Male,46-50,49,1,Coimbatore,Western,IT Sector,Veterinary,3,732,,
1000048,P00265242,Female,26-35,34,0,Kanchipuram,Northern,IT Sector,Electronics & Gadgets,2,10008,,
1000048,P00003242,Female,26-35,28,1,Theni,Western,Govt,Beauty,4,3235,,
1000048,P00010242,Female,26-35,32,1,Tiruvallur,Northern,Hospitality,Electronics & Gadgets,4,4016,,
1000049,P00111142,Female,18-25,24,0,Kanyakumari,Southern,Media,Food,4,19297,,
1000053,P00351042,Female,26-35,31,1,Kanchipuram,Northern,Hospitality,Auto,3,18614,,
1000053,P00191342,Female,26-35,32,1,Kanchipuram,Northern,IT Sector,Clothing & Apparel,3,7125,,
1000053,P00323942,Male,26-35,27,0,Madurai,Southern,Media,Office,4,749,,
1000053,P00034742,Female,26-35,33,1,Tirunelveli,Southern,Hospitality,Clothing & Apparel,1,7001,,
1000053,P00120442,Female,26-35,33,1,Kanyakumari,Southern,Aviation,Footwear & Shoes,4,20677,,
